Listing ID,Listing name,Final URL,Image URL,City name,Description,Price,Property type,Listing type,Contextual keywords,Address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price
39079,"Sala comercial para alugar, 14m² - Jardim América - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-america/39079,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39079/63bddb7ddf20802eb6851da2d7c10f65AT.jpg,RIBEIRÃO PRETO,Comercial - Jardim América - 14m² - Ribeirão Preto,1100 BRL,commercial,rent,comercial;locação;jardim américa;ribeirão preto,"JARDIM AMÉRICA, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 1.100/mês
39104,"Salão Comercial para alugar, 200m² - Ipiranga - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/ipiranga/39104,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39104/aa00682f3dd360198537f5e811586444AT.jpg,RIBEIRÃO PRETO,Comercial - Ipiranga - 200m² - Ribeirão Preto,4000 BRL,commercial,rent,comercial;locação;ipiranga;ribeirão preto,"Ipiranga, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 4.000/mês
39105,"Salão Comercial para alugar, 120m² - Vila Monte Alegre - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-monte-alegre/39105,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39105/097d24fa6c56d8663da08c542b92d610AT.jpg,RIBEIRÃO PRETO,Comercial - Vila Monte Alegre - 120m² - Ribeirão Preto,4000 BRL,commercial,rent,comercial;locação;vila monte alegre;ribeirão preto,"VILA MONTE ALEGRE, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 4.000/mês
39108,"Casa Comercial para alugar, 421m² - Vila Seixas - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/casas/ribeirao-preto/vila-seixas/39108,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39108/fff63f5f60572f0ec8419f8dca6f42dcAT.jpg,RIBEIRÃO PRETO,Casa - Vila Seixas - 421m² - Ribeirão Preto,7500 BRL,house,rent,casa;locação;vila seixas;ribeirão preto,"VILA SEIXAS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 7.500/mês
39115,"Sala comercial para alugar, 10m² - Jardim Palma Travassos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-palma-travassos/39115,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39115/6ab5032216dfd6e7c0c934992e17d3a7AT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Palma Travassos - 10m² - Ribeirão Preto,750 BRL,commercial,rent,comercial;locação;jardim palma travassos;ribeirão preto,"JARDIM PALMA TRAVASSOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 750/mês
39113,"Sala comercial para alugar, 10m² - Jardim Palma Travassos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-palma-travassos/39113,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39113/b95384ae7977a369139b091e06cd1439AT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Palma Travassos - 10m² - Ribeirão Preto,750 BRL,commercial,rent,comercial;locação;jardim palma travassos;ribeirão preto,"JARDIM PALMA TRAVASSOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 750/mês
39114,"Sala comercial para alugar, 10m² - Jardim Palma Travassos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-palma-travassos/39114,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39114/efe22440dc0e72e8ccd49393e91959b8AT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Palma Travassos - 10m² - Ribeirão Preto,750 BRL,commercial,rent,comercial;locação;jardim palma travassos;ribeirão preto,"JARDIM PALMA TRAVASSOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 750/mês
39117,"Sala comercial para alugar, 12m² - Jardim Palma Travassos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-palma-travassos/39117,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39117/e0ea77fb94ab06e7f329aaa47a71a845AT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Palma Travassos - 12m² - Ribeirão Preto,400 BRL,commercial,rent,comercial;locação;jardim palma travassos;ribeirão preto,"JARDIM PALMA TRAVASSOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 400/mês
39116,"Sala comercial para alugar, 15m² - Jardim Palma Travassos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-palma-travassos/39116,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39116/7773a14651d978ae249963531f326efcAT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Palma Travassos - 15m² - Ribeirão Preto,600 BRL,commercial,rent,comercial;locação;jardim palma travassos;ribeirão preto,"JARDIM PALMA TRAVASSOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 600/mês
39119,"Sala comercial para alugar, 10m² - Jardim Palma Travassos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-palma-travassos/39119,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39119/013b01f80ef0f8aaabbb8b39efcdc6fcAT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Palma Travassos - 10m² - Ribeirão Preto,750 BRL,commercial,rent,comercial;locação;jardim palma travassos;ribeirão preto,"JARDIM PALMA TRAVASSOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 750/mês
39118,"Sala comercial para alugar, 12m² - Jardim Palma Travassos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-palma-travassos/39118,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39118/e44d066ecf4234923b272555606eb2deAT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Palma Travassos - 12m² - Ribeirão Preto,500 BRL,commercial,rent,comercial;locação;jardim palma travassos;ribeirão preto,"JARDIM PALMA TRAVASSOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 500/mês
